Name,Link
Memon Medical Institute Hospital,https://www.google.com/maps/place/Memon+Medical+Institute+Hospital/data=!4m7!3m6!1s0x3eb3386342271637:0x14569da3ac00a17b!8m2!3d24.9455287!4d67.146358!16s%2Fg%2F1tdmccgh!19sChIJNxYnQmM4sz4Re6EArKOdVhQ?authuser=0&hl=en&rclk=1
QuratulAin General Hospital,https://www.google.com/maps/place/QuratulAin+General+Hospital/data=!4m7!3m6!1s0x3eb332ffbce6ff7d:0x9aded2b97717c0b3!8m2!3d24.8607343!4d67.0011364!16s%2Fg%2F11cs0f48v5!19sChIJff_mvP8ysz4Rs8AXd7nS3po?authuser=0&hl=en&rclk=1
Hassan General Hospital,https://www.google.com/maps/place/Hassan+General+Hospital/data=!4m7!3m6!1s0x3eb339fc28ff91bf:0xe8e2682f4307bfd9!8m2!3d24.8804043!4d67.1858317!16s%2Fg%2F11xl0jsvl!19sChIJv5H_KPw5sz4R2b8HQy9o4ug?authuser=0&hl=en&rclk=1
Akhtar Doctor Clinic,https://www.google.com/maps/place/Akhtar+Doctor+Clinic/data=!4m7!3m6!1s0x3eb33ff0f2e288c5:0x9c21d7f7fc0b60b8!8m2!3d24.9286382!4d67.0124167!16s%2Fg%2F11gh0jk88g!19sChIJxYji8vA_sz4RuGAL_PfXIZw?authuser=0&hl=en&rclk=1
East City Hospital,https://www.google.com/maps/place/East+City+Hospital/data=!4m7!3m6!1s0x3eb347d31f8fa631:0xee9ff6757a15a12e!8m2!3d25.006059!4d67.1168733!16s%2Fg%2F11scrvkkws!19sChIJMaaPH9NHsz4RLqEVenX2n-4?authuser=0&hl=en&rclk=1
Dr Yasmeen Taufeeq Hospital,https://www.google.com/maps/place/Dr+Yasmeen+Taufeeq+Hospital/data=!4m7!3m6!1s0x3eb338a917764081:0xe4602bf11905901e!8m2!3d24.9469882!4d67.1022485!16s%2Fg%2F11gdw4r7kn!19sChIJgUB2F6k4sz4RHpAFGfErYOQ?authuser=0&hl=en&rclk=1
Naz General Hospital,https://www.google.com/maps/place/Naz+General+Hospital/data=!4m7!3m6!1s0x3eb33ffd8f74c3d5:0xc4a8f4e0e667d358!8m2!3d24.9267485!4d66.9994113!16s%2Fg%2F11gdy48z55!19sChIJ1cN0j_0_sz4RWNNn5uD0qMQ?authuser=0&hl=en&rclk=1
Sindh Medical Centre & Maternity Home,https://www.google.com/maps/place/Sindh+Medical+Centre+%26+Maternity+Home/data=!4m7!3m6!1s0x3eb33767deccd2d7:0x8944ee2b66c17461!8m2!3d24.9016396!4d67.2010279!16s%2Fg%2F11xzjy8wy!19sChIJ19LM3mc3sz4RYXTBZivuRIk?authuser=0&hl=en&rclk=1
Taha Clinic,https://www.google.com/maps/place/Taha+Clinic/data=!4m7!3m6!1s0x3eb33b981d382037:0x36f898f5d86e2dd!8m2!3d24.8290807!4d67.1190027!16s%2Fg%2F11h98mt92g!19sChIJNyA4HZg7sz4R3eKGXY-JbwM?authuser=0&hl=en&rclk=1
Kamran poly clinic,https://www.google.com/maps/place/Kamran+poly+clinic/data=!4m7!3m6!1s0x3eb33b36abc2784d:0xb9b0a22e9ce24d27!8m2!3d24.8187321!4d67.1616816!16s%2Fg%2F11lfgwt1p1!19sChIJTXjCqzY7sz4RJ03inC6isLk?authuser=0&hl=en&rclk=1
Becham General hospital,https://www.google.com/maps/place/Becham+General+hospital/data=!4m7!3m6!1s0x3eb3312a3eaed32f:0x88de2d850edc8ba3!8m2!3d24.8605609!4d67.2138626!16s%2Fg%2F11srmf748y!19sChIJL9OuPioxsz4Ro4vcDoUt3og?authuser=0&hl=en&rclk=1
Salahuddin medical centre and maternity home,https://www.google.com/maps/place/Salahuddin+medical+centre+and+maternity+home/data=!4m7!3m6!1s0x3eb33f000697ab85:0x1e0b2e1ba4837e25!8m2!3d24.8964796!4d67.0359707!16s%2Fg%2F11vjyq6xgm!19sChIJhauXBgA_sz4RJX6DpBsuCx4?authuser=0&hl=en&rclk=1
پٹنی ویلفیئر ہسپتال,https://www.google.com/maps/place/%D9%BE%D9%B9%D9%86%DB%8C+%D9%88%DB%8C%D9%84%D9%81%DB%8C%D8%A6%D8%B1+%DB%81%D8%B3%D9%BE%D8%AA%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3eb3151647a0d977:0x2516b50e05f4998!8m2!3d24.9051647!4d66.966996!16s%2Fg%2F11g9mztx6x!19sChIJd9mgRxYVsz4RmElf4FBrUQI?authuser=0&hl=en&rclk=1
Ayesha General Hospital,https://www.google.com/maps/place/Ayesha+General+Hospital/data=!4m7!3m6!1s0x3eb33322f31cf1d5:0x57c4177e837607cd!8m2!3d24.8665232!4d67.3578744!16s%2Fg%2F1q2w095ct!19sChIJ1fEc8yIzsz4RzQd2g34XxFc?authuser=0&hl=en&rclk=1
"Dr. Tariq Zia, ENT General Hospital","https://www.google.com/maps/place/Dr.+Tariq+Zia,+ENT+General+Hospital/data=!4m7!3m6!1s0x3eb3397bf127f657:0xe14355826a1e1ebd!8m2!3d24.8780029!4d67.1558879!16s%2Fg%2F11vkmx585_!19sChIJV_Yn8Xs5sz4RvR4eaoJVQ-E?authuser=0&hl=en&rclk=1"
eScribe,https://www.google.com/maps/place/eScribe/data=!4m7!3m6!1s0x3eb33e8c52abffff:0xc3dde6299667c745!8m2!3d24.8727601!4d67.055372!16s%2Fg%2F11vrfhxcm4!19sChIJ__-rUow-sz4RRcdnlinm3cM?authuser=0&hl=en&rclk=1
shaheed e millat dispensary,https://www.google.com/maps/place/shaheed+e+millat+dispensary/data=!4m7!3m6!1s0x3eb36b0b9427da1d:0x710df10cbeeefe90!8m2!3d24.9479765!4d66.9806013!16s%2Fg%2F11fmnbknnr!19sChIJHdonlAtrsz4RkP7uvgzxDXE?authuser=0&hl=en&rclk=1
Sara medical and dental center,https://www.google.com/maps/place/Sara+medical+and+dental+center/data=!4m7!3m6!1s0x3eb3158faacc5a85:0xb818758432950d5c!8m2!3d24.9275449!4d66.9842694!16s%2Fg%2F11vlkpmxws!19sChIJhVrMqo8Vsz4RXA2VMoR1GLg?authuser=0&hl=en&rclk=1
Anabiya General hospital,https://www.google.com/maps/place/Anabiya+General+hospital/data=!4m7!3m6!1s0x3eb33f1d6cfc4dc9:0xd32b80b11a7eb87c!8m2!3d24.9272184!4d67.0239483!16s%2Fg%2F11v3q7djn8!19sChIJyU38bB0_sz4RfLh-GrGAK9M?authuser=0&hl=en&rclk=1
Faizan General Hospital,https://www.google.com/maps/place/Faizan+General+Hospital/data=!4m7!3m6!1s0x3eb3415bfbde2d8d:0xd2f8f9e30d56ea1a!8m2!3d24.9682255!4d67.0406777!16s%2Fg%2F11kj_kq859!19sChIJjS3e-1tBsz4RGupWDeP5-NI?authuser=0&hl=en&rclk=1
Al shafi hospital and maternity home,https://www.google.com/maps/place/Al+shafi+hospital+and+maternity+home/data=!4m7!3m6!1s0x3eb33f7a5a6fc6f5:0xc85bad099c41055!8m2!3d24.9345141!4d67.0156688!16s%2Fg%2F11v0r2x4dl!19sChIJ9cZvWno_sz4RVRDEmdC6hQw?authuser=0&hl=en&rclk=1
Saleem Clinic,https://www.google.com/maps/place/Saleem+Clinic/data=!4m7!3m6!1s0x3eb34100195e2987:0x909a2e7ea2786a6d!8m2!3d24.9443554!4d67.0263074!16s%2Fg%2F11vpysr002!19sChIJhyleGQBBsz4RbWp4on4umpA?authuser=0&hl=en&rclk=1
Aryan polymath medication center,https://www.google.com/maps/place/Aryan+polymath+medication+center/data=!4m7!3m6!1s0x3eb3412b39c9750d:0x6b88715c75b84d96!8m2!3d24.9411835!4d67.0036554!16s%2Fg%2F11sjxmkzrc!19sChIJDXXJOStBsz4Rlk24dVxxiGs?authuser=0&hl=en&rclk=1
Ali Children Hospital,https://www.google.com/maps/place/Ali+Children+Hospital/data=!4m7!3m6!1s0x3eb36ae42bfbce39:0xc3c5f90dd7287f33!8m2!3d24.9562136!4d66.9602911!16s%2Fg%2F11gf1048ss!19sChIJOc77K-Rqsz4RM38o1w35xcM?authuser=0&hl=en&rclk=1
Muhammad Ali General Hospital,https://www.google.com/maps/place/Muhammad+Ali+General+Hospital/data=!4m7!3m6!1s0x3eb33301d6c610bb:0x65d27918924f92f4!8m2!3d24.8542986!4d67.3359246!16s%2Fg%2F11c2jg0p6h!19sChIJuxDG1gEzsz4R9JJPkhh50mU?authuser=0&hl=en&rclk=1
Map medical,https://www.google.com/maps/place/Map+medical/data=!4m7!3m6!1s0x3eb341f7782d7cb9:0x8049c37a8effea75!8m2!3d24.998096!4d67.0838714!16s%2Fg%2F11f6kzpvp3!19sChIJuXwtePdBsz4Rder_jnrDSYA?authuser=0&hl=en&rclk=1
Quick Care Dental & Medical Clinic,https://www.google.com/maps/place/Quick+Care+Dental+%26+Medical+Clinic/data=!4m7!3m6!1s0x3eb3399c39fd5e61:0x5d7c9789d746801!8m2!3d24.8841797!4d67.1455179!16s%2Fg%2F11gbfrw1h4!19sChIJYV79OZw5sz4RAWh0nXjJ1wU?authuser=0&hl=en&rclk=1
Tariq Medical Center,https://www.google.com/maps/place/Tariq+Medical+Center/data=!4m7!3m6!1s0x3eb3411619955555:0x26d5e0919820be48!8m2!3d25.0061831!4d67.0696375!16s%2Fg%2F11c76mg1bm!19sChIJVVWVGRZBsz4RSL4gmJHg1SY?authuser=0&hl=en&rclk=1
MMC General Hospital Janjal goth karachi,https://www.google.com/maps/place/MMC+General+Hospital+Janjal+goth+karachi/data=!4m7!3m6!1s0x3eb347000d059cfb:0x7372aa7a66588c60!8m2!3d25.0112905!4d67.162485!16s%2Fg%2F11vpj3qp_g!19sChIJ-5wFDQBHsz4RYIxYZnqqcnM?authuser=0&hl=en&rclk=1
Zaman Medical Center (ZMC),https://www.google.com/maps/place/Zaman+Medical+Center+%28ZMC%29/data=!4m7!3m6!1s0x3eb33f8dae5e60dd:0x2a3fc4994bd7b4b8!8m2!3d24.9191574!4d67.0064749!16s%2Fg%2F11l6t1zl53!19sChIJ3WBero0_sz4RuLTXS5nEPyo?authuser=0&hl=en&rclk=1
Dr. Saima Kakar Khidmat Hospital Maternity Care,https://www.google.com/maps/place/Dr.+Saima+Kakar+Khidmat+Hospital+Maternity+Care/data=!4m7!3m6!1s0x3eb36b0066c33de7:0x885df5db53ef6b81!8m2!3d24.9496419!4d66.9483971!16s%2Fg%2F11y2dpjjqq!19sChIJ5z3DZgBrsz4RgWvvU9v1XYg?authuser=0&hl=en&rclk=1
ROSHAN MEDICAL CENTER,https://www.google.com/maps/place/ROSHAN+MEDICAL+CENTER/data=!4m7!3m6!1s0x3eb3310066db947d:0xdbfde9ff979da48!8m2!3d24.8454806!4d67.2180815!16s%2Fg%2F11vpxwh_0y!19sChIJfZTbZgAxsz4RSNp5-Z_evw0?authuser=0&hl=en&rclk=1
